"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"z_idm",0.912428,0.912428,0.912428,0.912428,0,0.331984902409818,1
"z_leitos1k",0.617372,0.617372,0.617372,0.617372,0,-0.115559210715858,0
"z_idosos",0.525076,0.525076,0.525076,0.525076,0,-0.0959673961178548,0
"z_ivs.renda",0.358456,0.358456,0.358456,0.358456,0,-0.0682890488562649,0
"z_eleitas.fem",0.289364,0.289364,0.289364,0.289364,0,-0.0347786902544613,0
"semiarido",0.28434,0.28434,0.28434,0.28434,0,-0.0941657597163685,0
"z_emprego",0.256084,0.256084,0.256084,0.256084,0,-0.0402487007994736,0.0002343
"z_int.circ",0.250116,0.250116,0.250116,0.250116,0,-0.0340504444268976,0
"z_pibpc",0.240808,0.240808,0.240808,0.240808,0,-0.0362712737215267,0.01493306
"z_ivs.capital",0.200956,0.200956,0.200956,0.200956,0,0.0291279857036327,0.99367026
"aliadogov",0.190544,0.190544,0.190544,0.190544,0,0.0331900881622465,1
"z_int.resp",0.19008,0.19008,0.19008,0.19008,0,-0.0211593492176606,0.00166246
"z_pop.rural",0.176104,0.176104,0.176104,0.176104,0,-0.0189468746408981,2.271e-05
"z_tax.agua",0.167504,0.167504,0.167504,0.167504,0,-0.013310495492499,0
"z_int.diab",0.161712,0.161712,0.161712,0.161712,0,-0.0146533469928995,0.00022262
"z_idhm",0.154184,0.154184,0.154184,0.154184,0,0.0225809301035392,0.97981632
"z_desp.educ",0.148504,0.148504,0.148504,0.148504,0,-0.011004888633926,0.01573022
"z_ex.pobr",0.133628,0.133628,0.133628,0.133628,0,-0.011837809435485,0.10491813
"z_area",0.119628,0.119628,0.119628,0.119628,0,0.00794316882011228,0.99943157
"z_prof1k",0.118168,0.118168,0.118168,0.118168,0,-0.00450866267814523,0.32072981
"z_sus1k",0.116464,0.116464,0.116464,0.116464,0,-0.00564823596414669,0.08390576
"z_ideb5",0.115308,0.115308,0.115308,0.115308,0,0.00682111235663542,0.9962882
"z_int.asma",0.109832,0.109832,0.109832,0.109832,0,0.00504550487756405,0.902797
"z_tmi",0.108808,0.108808,0.108808,0.108808,0,0.00456916406799419,0.99566208
"z_imuni",0.105408,0.105408,0.105408,0.105408,0,-0.00493822733981687,0
"z_desp.saude",0.102728,0.102728,0.102728,0.102728,0,-0.00135417287864507,0.43871194
"z_ideb3",0.098324,0.098324,0.098324,0.098324,0,0.00313839743032943,0.92453521
"z_tax.hom",0.097844,0.097844,0.097844,0.097844,0,0.00378254498200171,0.95821921
"z_densidade",0.096604,0.096604,0.096604,0.096604,0,-0.00228056993930709,0.20810732
"z_bolsaf",0.092108,0.092108,0.092108,0.092108,0,-0.00248617451621532,0.19299084
"z_ivs.infra",0.091648,0.091648,0.091648,0.091648,0,0.00236609895732452,0.75890363
"metrop",0.091156,0.091156,0.091156,0.091156,0,5.44680618919128e-06,0.47917855
"z_energia100k",0.08818,0.08818,0.08818,0.08818,0,0.000338448293763538,0.53495124
"z_ideb9",0.087804,0.087804,0.087804,0.087804,0,-0.0026540825008015,0.19292971
"z_votos",0.087396,0.087396,0.087396,0.087396,0,-0.00248400223396653,0.0650373
"z_pop",0.084288,0.084288,0.084288,0.084288,0,3.92644762203974e-05,0.35383447
