"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.723224,0.723224,0.723224,0.723224,0,0.42324948846778,1
"z_eleitas.fem",0.67262,0.67262,0.67262,0.67262,0,-0.0844890982778272,0
"z_imuni",0.574124,0.574124,0.574124,0.574124,0,-0.0557286862742007,0
"aliadogov",0.537808,0.537808,0.537808,0.537808,0,0.0980274504407691,1
"z_ideb9",0.501896,0.501896,0.501896,0.501896,0,-0.0466705344699668,0
"z_leitos1k",0.489668,0.489668,0.489668,0.489668,0,0.0498521451612442,0.99985296
"z_ivs.capital",0.489064,0.489064,0.489064,0.489064,0,0.0598362878757318,0.9998446
"z_ex.pobr",0.47702,0.47702,0.47702,0.47702,0,-0.0717275199092559,0.00181124
"z_bolsaf",0.471732,0.471732,0.471732,0.471732,0,0.0491420639980625,0.99815997
"z_sus1k",0.46216,0.46216,0.46216,0.46216,0,-0.0386383300705209,0
"z_int.resp",0.458644,0.458644,0.458644,0.458644,0,-0.0437217924565256,7.849e-05
"z_area",0.41106,0.41106,0.41106,0.41106,0,0.0259282347525115,0.99962049
"z_ideb3",0.410364,0.410364,0.410364,0.410364,0,0.026063013314759,0.99975631
"z_int.circ",0.407368,0.407368,0.407368,0.407368,0,0.0293491448690972,0.99741757
"z_emprego",0.39334,0.39334,0.39334,0.39334,0,-0.0288284391326237,0.00230844
"z_tax.hom",0.38512,0.38512,0.38512,0.38512,0,-0.0191964769348199,0.01628583
"z_idhm",0.384028,0.384028,0.384028,0.384028,0,0.0309221039678095,0.89973648
"z_ivs.infra",0.382768,0.382768,0.382768,0.382768,0,-0.0186612162106658,0.01503783
"z_pop",0.381912,0.381912,0.381912,0.381912,0,0.0176983219599808,0.82581328
"z_densidade",0.381496,0.381496,0.381496,0.381496,0,0.0209956827703566,0.87970516
"z_idm",0.37942,0.37942,0.37942,0.37942,0,-0.0308049857427664,0.02906542
"z_prof1k",0.366316,0.366316,0.366316,0.366316,0,-0.0122160599468132,0.13603555
"z_ideb5",0.365492,0.365492,0.365492,0.365492,0,0.000448721340262437,0.64498265
"z_energia100k",0.365204,0.365204,0.365204,0.365204,0,-0.0156943216199168,0.0192769
"z_tmi",0.363588,0.363588,0.363588,0.363588,0,0.0119828473162828,1
"z_pibpc",0.359904,0.359904,0.359904,0.359904,0,-0.00811964640030387,0.25146706
"z_desp.saude",0.35558,0.35558,0.35558,0.35558,0,0.00820889709668431,0.81211542
"z_ivs.renda",0.354144,0.354144,0.354144,0.354144,0,0.00942216763910839,0.83829177
"z_pop.rural",0.353652,0.353652,0.353652,0.353652,0,-0.00621160192385996,0.35010688
"z_idosos",0.346084,0.346084,0.346084,0.346084,0,0.00772987249789093,0.90387305
"semiarido",0.345244,0.345244,0.345244,0.345244,0,0.0115687174288318,0.8581525
"z_int.asma",0.344176,0.344176,0.344176,0.344176,0,-0.00366062246251669,0.24232951
"z_votos",0.342224,0.342224,0.342224,0.342224,0,-0.00487430231386998,0.21196643
"z_desp.educ",0.340784,0.340784,0.340784,0.340784,0,0.00152521459739343,0.66582938
"z_int.diab",0.336492,0.336492,0.336492,0.336492,0,0.00169685089436278,0.65223542
"z_tax.agua",0.334792,0.334792,0.334792,0.334792,0,-0.00277989158665801,0.15708858
