"variavel","PIP_cadeia_1","PIP_media","PIP_minima","PIP_maxima","diferenca_maxima","Post_Mean_media","Cond_Pos_Sign_media"
"metrop",0.7862,0.7862,0.7862,0.7862,0,0.460687570180988,1
"z_eleitas.fem",0.718944,0.718944,0.718944,0.718944,0,-0.0877601798503782,0
"z_imuni",0.623144,0.623144,0.623144,0.623144,0,-0.0597440211500203,0
"aliadogov",0.602344,0.602344,0.602344,0.602344,0,0.108903830778567,1
"z_ideb9",0.556444,0.556444,0.556444,0.556444,0,-0.0516274760002785,0
"z_leitos1k",0.553304,0.553304,0.553304,0.553304,0,0.0564716434038586,0.99999277
"z_ivs.capital",0.5351,0.5351,0.5351,0.5351,0,0.0642167306978089,0.99998505
"z_sus1k",0.526904,0.526904,0.526904,0.526904,0,-0.0437837790088045,0
"z_int.resp",0.51962,0.51962,0.51962,0.51962,0,-0.0493161081640418,0.00014626
"z_ex.pobr",0.51762,0.51762,0.51762,0.51762,0,-0.0786707388234948,0.00169236
"z_bolsaf",0.517424,0.517424,0.517424,0.517424,0,0.0551189016965774,0.99871672
"z_ideb3",0.467132,0.467132,0.467132,0.467132,0,0.0296683925332631,0.99981162
"z_int.circ",0.461488,0.461488,0.461488,0.461488,0,0.0336483981885884,0.99746039
"z_area",0.460628,0.460628,0.460628,0.460628,0,0.0289907606062124,0.99961791
"z_tmi",0.44492,0.44492,0.44492,0.44492,0,0.0216962802396126,1
"z_emprego",0.43994,0.43994,0.43994,0.43994,0,-0.0315141430503686,0.00211847
"z_idm",0.438644,0.438644,0.438644,0.438644,0,-0.0345307605946282,0.03602922
"z_densidade",0.435032,0.435032,0.435032,0.435032,0,0.0231221888840313,0.87960426
"z_ivs.infra",0.434756,0.434756,0.434756,0.434756,0,-0.0213744254139423,0.01721425
"z_tax.hom",0.433088,0.433088,0.433088,0.433088,0,-0.0213657900172751,0.0152394
"z_pibpc",0.416996,0.416996,0.416996,0.416996,0,-0.00943212667228006,0.23223244
"z_idhm",0.41526,0.41526,0.41526,0.41526,0,0.0325375391721588,0.89039156
"z_ideb5",0.413332,0.413332,0.413332,0.413332,0,0.00122550040202801,0.64840854
"z_pop",0.412072,0.412072,0.412072,0.412072,0,0.0205134619330332,0.85230736
"z_energia100k",0.4033,0.4033,0.4033,0.4033,0,-0.0165411510279388,0.02166129
"z_ivs.renda",0.402392,0.402392,0.402392,0.402392,0,0.0112090885775961,0.84714408
"z_prof1k",0.40216,0.40216,0.40216,0.40216,0,-0.014194250908752,0.12475632
"z_desp.educ",0.399116,0.399116,0.399116,0.399116,0,0.00194784993278698,0.67377905
"z_idosos",0.398792,0.398792,0.398792,0.398792,0,0.00863014445963963,0.88898473
"z_pop.rural",0.393056,0.393056,0.393056,0.393056,0,-0.00679859466745767,0.34465318
"z_int.diab",0.388452,0.388452,0.388452,0.388452,0,0.00233137450558476,0.6562973
"z_desp.saude",0.387704,0.387704,0.387704,0.387704,0,0.00846093342464854,0.81114458
"z_votos",0.387248,0.387248,0.387248,0.387248,0,-0.00561885869781254,0.14136677
"z_int.asma",0.385308,0.385308,0.385308,0.385308,0,-0.00415282074493323,0.2372855
"z_tax.agua",0.378564,0.378564,0.378564,0.378564,0,-0.00318457677832946,0.15784914
"semiarido",0.377212,0.377212,0.377212,0.377212,0,0.0114026034066046,0.83524384
